Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2020,3,Catamarca,36.5404366073298,34.9259564285714,4.622579719642732
2020,4,Catamarca,37.6500877273544,36.5404366073298,3.0367757559908624
2021,1,Catamarca,39.9665262396528,37.6500877273544,6.152544793714798
2021,2,Catamarca,42.1850637677911,39.9665262396528,5.550989132343396
2021,3,Catamarca,43.4333359976317,42.1850637677911,2.959038385509507
2021,4,Catamarca,46.3800577589391,43.4333359976317,6.784470254525413
2022,1,Catamarca,51.22,46.3800577589391,10.435395027355405
2022,2,Catamarca,56.56,51.22,10.42561499414292
2022,3,Catamarca,60.99,56.56,7.832390381895332
2022,4,Catamarca,83.33,60.99,36.628955566486304
2023,1,Catamarca,87.41,83.33,4.896195847833911
2023,2,Catamarca,86.13,87.41,-1.464363345155018
2023,3,Catamarca,87.9,86.13,2.0550330895158604
2023,4,Catamarca,89.4,87.9,1.7064846416382253
2024,1,Catamarca,91.45,89.4,2.2930648769574913
2024,2,Catamarca,97.38,91.45,6.484417714598132
2014,2,Chaco,3.4206301023632,3.25583730374444,5.061456800351697
2014,3,Chaco,3.461947812451,3.4206301023632,1.2078976343935846
2014,4,Chaco,3.97740036330609,3.461947812451,14.8890907309824
2015,1,Chaco,4.89990879703037,3.97740036330609,23.193753443454543
2015,2,Chaco,5.19477141425948,4.89990879703037,6.017716440106286
2015,3,Chaco,5.46643296553986,5.19477141425948,5.229518868427537
2015,4,Chaco,5.82838418079096,5.46643296553986,6.621341879299054
2016,1,Chaco,5.99147268320831,5.82838418079096,2.7981769450760203
2016,2,Chaco,6.29735751095808,5.99147268320831,5.105336265773891
2016,3,Chaco,6.71822036324595,6.29735751095808,6.68316593992835
2016,4,Chaco,7.07753100591982,6.71822036324595,5.3483009375457025
2017,1,Chaco,7.30790539827282,7.07753100591982,3.255010711508143
2017,2,Chaco,7.68921343354413,7.30790539827282,5.217747281750937
2017,3,Chaco,8.4848712875555,7.68921343354413,10.347714507966687
2017,4,Chaco,11.7028681219594,8.4848712875555,37.926289337159865
2018,1,Chaco,12.444064678645,11.7028681219594,6.333460729125121
2018,2,Chaco,12.4994601819958,12.444064678645,0.4451560224197732
2018,3,Chaco,12.8949618906093,12.4994601819958,3.164150314132603
2018,4,Chaco,13.4920835702103,12.8949618906093,4.63065873840116
2019,1,Chaco,13.4442362690779,13.4920835702103,-0.35463241006039875
2019,2,Chaco,16.0102433309966,13.4442362690779,19.08629847439223
2019,3,Chaco,19.9946681226854,16.0102433309966,24.886722264706375
2019,4,Chaco,23.3749508001623,19.9946681226854,16.905920402058204
2020,1,Chaco,25.942049334121698,23.3749508001623,10.98226283300487
2020,2,Chaco,27.9522846743643,25.942049334121698,7.748945792029352
2020,3,Chaco,30.8027269485642,27.9522846743643,10.197528779513709
2020,4,Chaco,32.452046764181,30.8027269485642,5.354460396869761
2021,1,Chaco,33.6262012999863,32.452046764181,3.6181216683727797
2021,2,Chaco,37.3969095962221,33.6262012999863,11.213601746437352
2021,3,Chaco,39.1131358092076,37.3969095962221,4.589219353994086
2021,4,Chaco,42.3426375146886,39.1131358092076,8.256821240910947
2022,1,Chaco,45.84,42.3426375146886,8.259670843834838
2022,2,Chaco,50.61,45.84,10.405759162303656
2022,3,Chaco,53.21,50.61,5.13732463939933
2022,4,Chaco,104.02,53.21,95.48956962976884
2023,1,Chaco,104.33,104.02,0.2980196116131535
2023,2,Chaco,105.45,104.33,1.0735167257739908
2023,3,Chaco,107.5,105.45,1.9440493124703622
2023,4,Chaco,107.14,107.5,-0.334883720930232
