Año,Trimestre,Provincia,Accesos por cada 100 hogares,Acceso anterior,Variación (%)
2017,2,Entre Ríos,45.3893310282472,44.9072736870412,1.0734504716662587
2017,3,Entre Ríos,45.9581216701772,45.3893310282472,1.2531373101225582
2017,4,Entre Ríos,47.8852452937468,45.9581216701772,4.193216679741144
2018,1,Entre Ríos,48.6812024178572,47.8852452937468,1.66221791123276
2018,2,Entre Ríos,49.2026118705284,48.6812024178572,1.071069379502297
2018,3,Entre Ríos,50.2220138583775,49.2026118705284,2.0718452722216285
2018,4,Entre Ríos,54.3747734863994,50.2220138583775,8.268803476762967
2019,1,Entre Ríos,56.7881599616928,54.3747734863994,4.438430398054078
2019,2,Entre Ríos,57.4782345887239,56.7881599616928,1.2151734225877378
2019,3,Entre Ríos,57.9000994579662,57.4782345887239,0.7339558569620028
2019,4,Entre Ríos,57.9922169170451,57.9000994579662,0.15909723807257697
2020,1,Entre Ríos,56.1200605143722,57.9922169170451,-3.2282890742923724
2020,2,Entre Ríos,56.5386547397096,56.1200605143722,0.745890545200321
2020,3,Entre Ríos,58.1901640924315,56.5386547397096,2.921026968761558
2020,4,Entre Ríos,59.4743067609738,58.1901640924315,2.206803655859296
2021,1,Entre Ríos,60.4394497283423,59.4743067609738,1.622789772476686
2021,2,Entre Ríos,61.6602644647879,60.4394497283423,2.0198971730100292
2021,3,Entre Ríos,62.1794014538577,61.6602644647879,0.8419311749242684
2021,4,Entre Ríos,63.1553614361658,62.1794014538577,1.5695872901451797
2022,1,Entre Ríos,63.7009034712316,63.1553614361658,0.8638095367678422
2022,2,Entre Ríos,63.9,63.7009034712316,0.31254898740693043
2022,3,Entre Ríos,63.67,63.9,-0.3599374021909184
2022,4,Entre Ríos,64.01,63.67,0.534003455316481
2023,1,Entre Ríos,64.79,64.01,1.2185596000624919
2023,2,Entre Ríos,64.43,64.79,-0.5556413026701642
2023,3,Entre Ríos,68.84,64.43,6.844637591184225
2023,4,Entre Ríos,69.94,68.84,1.5979081929110899
2024,1,Entre Ríos,69.31,69.94,-0.900772090363162
2024,2,Entre Ríos,68.64,69.31,-0.9666714759774948
2014,2,Formosa,17.5404117548517,17.4184510793687,0.700180945637901
2014,3,Formosa,17.7713148314683,17.5404117548517,1.31640624999998
2014,4,Formosa,17.9563113616952,17.7713148314683,1.0409839225813535
2015,1,Formosa,18.1227036739718,17.9563113616952,0.9266508523100746
2015,2,Formosa,18.3602672052786,18.1227036739718,1.3108614232212747
2015,3,Formosa,18.8367517737853,18.3602672052786,2.595194085027852
2015,4,Formosa,19.0654915167863,18.8367517737853,1.2143268953585324
2016,1,Formosa,19.0418783694349,19.0654915167863,-0.12385281192780974
2016,2,Formosa,19.370070664564,19.0418783694349,1.723528996256471
2016,3,Formosa,18.6397083028628,19.370070664564,-3.7705714880913663
2016,4,Formosa,19.8482360781639,18.6397083028628,6.483619569923671
2017,1,Formosa,19.8424891786459,19.8482360781639,-0.028954207796450682
2017,2,Formosa,19.965076445262,19.8424891786459,0.6178018569768303
2017,3,Formosa,21.3503843800708,19.965076445262,6.9386558003265435
2017,4,Formosa,21.2709766892497,21.3503843800708,-0.3719262820168315
2018,1,Formosa,21.4043102592114,21.2709766892497,0.6268333227457581
